Season,TEAM,Playoffs,W,L,NOG,WR,PTS,oppPTS,ALL A,ALL G,ALL S,X2 A,X2 G,X2 S,X3 A,X3 G,X3 S,FT A,FT G,FT S,Rebounds,ORB,DRB,AST,STL,BLK,TOV,FOUL
1986,Dallas Mavericks,1,44,38,82,0.54 ,115.3,114.2,0.50 ,44.3,88.4,0.51 ,42.6,83,0.32 ,1.7,5.4,0.78 ,25,32.2,42.9,12.9,30,25.7,7.4,4.5,15.5,21.2
1986,Denver Nuggets,1,47,35,82,0.57 ,114.8,113.5,0.47 ,45.2,96,0.48 ,44.3,92.3,0.23 ,0.9,3.7,0.80 ,23.5,29.5,43.1,14.9,28.2,26,10.1,5.1,15.9,26.4
1986,Golden State Warriors,0,30,52,82,0.37 ,113.4,116.9,0.48 ,44.5,92.3,0.49 ,43.4,88.9,0.31 ,1.1,3.4,0.76 ,23.3,30.7,44.1,15.5,28.6,24.6,9.1,4.3,16.8,24.7
1986,Houston Rockets,1,51,31,82,0.62 ,114.4,111.8,0.49 ,45.8,93.5,0.50 ,44.8,89.7,0.28 ,1,3.8,0.73 ,21.7,29.6,45.7,16,29.7,28.2,9.1,6.6,16.5,24.4
1986,Los Angeles Clippers,0,32,50,82,0.39 ,108.6,115.5,0.47 ,41.3,87.4,0.48 ,40.5,84.6,0.28 ,0.8,2.8,0.77 ,25.2,32.7,41.7,14.1,27.5,24,8.5,6.1,17.9,23.5
1986,Los Angeles Lakers,1,62,20,82,0.76 ,117.3,109.5,0.52 ,46.8,89.7,0.53 ,45.1,84.7,0.34 ,1.7,5,0.78 ,22.1,28.4,44.6,13.4,31.2,29.7,8.4,5.1,17.6,24.7
1986,Phoenix Suns,0,32,50,82,0.39 ,110,113,0.50 ,42.9,85.3,0.51 ,42.4,83.1,0.21 ,0.5,2.2,0.73 ,23.8,32.7,42.5,12.6,29.9,27.7,9.4,4.6,21.2,27.5
1986,Portland Trail Blazers,1,40,42,82,0.49 ,115.1,114,0.50 ,44,88.8,0.50 ,43.1,85.4,0.27 ,0.9,3.4,0.77 ,26.1,34.1,42.3,14,28.2,26.5,10.5,4.3,18.4,26.9
1986,Kansas City Kings,1,37,45,82,0.45 ,108.8,111.9,0.49 ,43.1,88,0.49 ,42.7,86.4,0.23 ,0.4,1.6,0.78 ,22.2,28.5,42.8,13.9,28.9,28.1,7.3,4.7,18.4,26
1986,San Antonio Spurs,1,35,47,82,0.43 ,111.2,113.1,0.51 ,43.9,86.6,0.51 ,43.3,84.2,0.23 ,0.6,2.4,0.75 ,23,30.8,42.5,13.1,29.4,27.5,9.8,4.8,19.5,25.7
1986,Oklahoma City Thunder,0,31,51,82,0.38 ,104.4,104.5,0.47 ,40.7,86.1,0.48 ,39.7,82.4,0.26 ,1,3.7,0.78 ,22.1,28.4,41.5,14,27.5,24.1,9.1,3.6,17,26.4
1986,Utah Jazz,1,42,40,82,0.51 ,108.2,108.5,0.49 ,42.1,86.4,0.49 ,41.7,84.3,0.21 ,0.4,2.1,0.72 ,23.6,32.9,43.3,13.1,30.3,26.8,8.8,8.1,18.3,24.8
1986,Atlanta Hawks,1,50,32,82,0.61 ,108.6,106.2,0.49 ,42,85.7,0.50 ,41.6,83.7,0.20 ,0.4,2,0.73 ,24.1,33,44.6,15.2,29.4,24.7,9,5.3,17.5,26.5
1986,Boston Celtics,1,67,15,82,0.82 ,114.1,104.7,0.51 ,45.3,89.2,0.52 ,43.6,84.4,0.35 ,1.7,4.8,0.79 ,21.8,27.4,46.4,12.9,33.5,29,7.8,6.2,16.3,21.4
1986,Chicago Bulls,1,30,52,82,0.37 ,109.3,113.1,0.48 ,42.4,88.1,0.49 ,41.3,84.3,0.28 ,1.1,3.8,0.77 ,23.4,30.5,43.4,15.7,27.7,24.5,7.4,4.9,17.1,26.4
1986,Cleveland Cavaliers,0,29,53,82,0.35 ,107.8,110.6,0.48 ,42.4,88.2,0.49 ,40.8,83.4,0.34 ,1.6,4.8,0.75 ,21.3,28.4,43.1,13.3,29.9,25.2,7.6,5.3,17,27.6
1986,Detroit Pistons,1,46,36,82,0.56 ,114.2,113,0.48 ,45.8,94.5,0.49 ,45.1,92.3,0.30 ,0.7,2.2,0.78 ,22,28,45.6,15.6,30,28.3,9,4.1,16.1,25.7
1986,Indiana Pacers,0,26,56,82,0.32 ,103.9,107.2,0.48 ,42,87.2,0.49 ,41.7,85.5,0.16 ,0.3,1.7,0.74 ,19.7,26.6,45.7,13.9,31.9,26.3,8,4.6,18.1,26
1986,Milwaukee Bucks,1,57,25,82,0.70 ,114.5,105.5,0.49 ,43.9,89.1,0.50 ,42.4,84.5,0.33 ,1.5,4.6,0.76 ,25.2,32.9,44,14.5,29.5,26.3,9.8,5.6,16.4,27
1986,New Jersey Nets,1,39,43,82,0.48 ,109.1,111.1,0.49 ,43.3,89.1,0.49 ,42.8,86.5,0.20 ,0.5,2.6,0.76 ,22.1,29.2,44.7,14.4,30.3,26,9.1,4.2,18.9,26
1986,New York Knicks,0,23,59,82,0.28 ,98.7,104.3,0.46 ,39.5,85.8,0.46 ,38.5,82.9,0.35 ,1,2.9,0.69 ,18.7,27.3,39.6,13.2,26.5,22.9,8.7,3.8,17.2,27
1986,Philadelphia 76ers,1,54,28,82,0.66 ,110.4,108,0.49 ,41.9,86.1,0.50 ,41.3,83.4,0.23 ,0.6,2.7,0.76 ,26,34.3,45.2,16.2,29,24.5,10.5,6,19,21.9
1986,Washington Wizards,1,39,43,82,0.48 ,103,104.8,0.46 ,40.4,87.2,0.47 ,39,82.2,0.29 ,1.4,5,0.75 ,20.8,27.9,42.6,13,29.6,21.3,7.6,8.7,16,21.9
1987,Dallas Mavericks,1,55,27,82,0.67 ,116.7,110.4,0.49 ,43.8,89.9,0.50 ,41,81.9,0.36 ,2.8,8,0.79 ,26.2,33.1,45.2,14.9,30.4,24.6,8.4,5.2,14.5,22.7
1987,Denver Nuggets,1,37,45,82,0.45 ,116.7,117.6,0.47 ,45.7,97,0.48 ,44.4,92.2,0.27 ,1.3,4.8,0.77 ,24.1,31.3,44.7,15.8,28.9,28.2,9.2,5.1,14.8,26.6
1987,Golden State Warriors,1,42,40,82,0.51 ,112,114.4,0.48 ,43.3,90.4,0.49 ,41.9,86,0.32 ,1.4,4.4,0.78 ,24,30.8,43.2,14.6,28.7,25.4,8.7,3.9,16.4,26
1987,Houston Rockets,1,42,40,82,0.51 ,106.9,105.9,0.48 ,42.3,88.6,0.49 ,41.2,84.6,0.28 ,1.1,4,0.74 ,21.3,28.7,44.7,14.5,30.2,27.2,8,6.7,16.5,24.1
1987,Los Angeles Clippers,0,12,70,82,0.15 ,104.5,115.9,0.45 ,40.4,89.5,0.46 ,39.4,85.3,0.22 ,1,4.2,0.74 ,22.8,30.7,41.1,15,26.1,24,9.2,5.3,17.6,24.4
1987,Los Angeles Lakers,1,65,17,82,0.79 ,117.8,108.5,0.52 ,45.6,88.3,0.53 ,43.6,82.9,0.37 ,2,5.4,0.79 ,24.5,31.1,44.4,13.7,30.7,29.6,8.9,5.8,16.4,22.6
1987,Phoenix Suns,0,36,46,82,0.44 ,111.1,113.5,0.50 ,43.6,87.6,0.51 ,42.9,84.5,0.24 ,0.7,3.1,0.76 ,23.2,30.5,42.4,13.6,28.9,28.7,8.6,4.8,17.9,25
1987,Portland Trail Blazers,1,49,33,82,0.60 ,117.9,114.8,0.50 ,44.5,88.4,0.51 ,43.3,84.3,0.29 ,1.2,4.1,0.78 ,27.7,35.7,43.8,14.4,29.4,28.8,9.4,4.7,18.7,25.4
1987,Kansas City Kings,0,29,53,82,0.35 ,110.9,114.1,0.48 ,43,90.4,0.49 ,42.1,86.7,0.25 ,0.9,3.7,0.80 ,24.1,30.2,45.4,15.6,29.8,26.6,6.3,4.8,16.8,24.5
1987,San Antonio Spurs,0,28,54,82,0.34 ,108.3,113.4,0.47 ,43.1,91,0.48 ,41.7,86.1,0.29 ,1.4,4.9,0.74 ,20.7,28,44.3,15.7,28.6,27.1,9.6,4,16.9,23.5
1987,Oklahoma City Thunder,1,39,43,82,0.48 ,113.7,113.3,0.48 ,43.8,90.9,0.49 ,41.5,84,0.34 ,2.3,6.9,0.76 ,23.8,31.4,46,16.7,29.2,26.6,8.6,5.3,18.1,27.1
1987,Utah Jazz,1,44,38,82,0.54 ,107.9,107.5,0.46 ,42.5,91.8,0.47 ,40.8,86.3,0.31 ,1.7,5.5,0.73 ,21.2,29.1,44.5,14.6,29.9,27.3,10.2,7.7,16.8,24.9
1987,Atlanta Hawks,1,57,25,82,0.70 ,110,102.8,0.48 ,41.9,87.1,0.49 ,40.3,81.9,0.32 ,1.6,5.2,0.76 ,24.6,32.5,46.6,16.5,30.1,25.4,8.5,6.2,15.4,26.2
1987,Boston Celtics,1,59,23,82,0.72 ,112.6,106,0.52 ,44.5,86,0.53 ,42,79.1,0.37 ,2.5,6.9,0.81 ,21.2,26.3,42.9,11.4,31.5,29.4,6.9,6.4,15.7,20.8
1987,Chicago Bulls,1,40,42,82,0.49 ,104.8,103.9,0.47 ,41.2,87.3,0.48 ,40.2,83.7,0.26 ,1,3.6,0.78 ,21.4,27.5,44.5,15.2,29.3,26.2,8.3,5.3,15,23.5
1987,Cleveland Cavaliers,0,31,51,82,0.38 ,104.4,108.2,0.47 ,40.8,86.9,0.48 ,39.8,82.8,0.24 ,1,4.1,0.70 ,21.7,31.1,44.8,15.3,29.5,23.3,8.2,6.8,19.4,22.6
1987,Detroit Pistons,1,52,30,82,0.63 ,111.2,107.8,0.49 ,43.2,88.3,0.50 ,42.7,86.2,0.23 ,0.5,2.1,0.77 ,24.3,31.7,47.5,15.2,32.3,24.6,7.8,5.3,17,25.3
1987,Indiana Pacers,1,41,41,82,0.50 ,106.1,106.7,0.47 ,42.1,89.3,0.48 ,41,85.4,0.30 ,1.1,3.9,0.78 ,20.7,26.5,43.9,13.8,30,26.5,8.5,3.8,15.4,25.6
1987,Milwaukee Bucks,1,50,32,82,0.61 ,110.4,106.5,0.48 ,42.2,88.8,0.49 ,39.9,81.9,0.33 ,2.3,6.9,0.77 ,23.8,31.1,42,13.7,28.3,24.9,10.3,4.8,15.2,26.5
1987,New Jersey Nets,0,24,58,82,0.29 ,108.5,113.5,0.48 ,41.1,86.3,0.49 ,39.3,80.8,0.32 ,1.8,5.5,0.77 ,24.4,31.8,43.6,14.2,29.4,24.3,7.8,4.8,19.5,28.7
